key,no,en
affiliation,Affiliert,Affiliated
readmore,Les meir,Read More
abstract,Samandrag,Abstract
contributors,Medverkande,Contributors
webpage,Nettside,Webpage
publications,Publikasjonar,Publications
publication,Publikasjon,Publication
archive,Arkiv,Archive
email.subject,"Registrerte publikasjonar i Cristin (%s, %s)","Registered publications in cristin (%s, %s)"
email.header,"Dette dokumentet inneheld registrerte publikasjonar i Cristin ved %s for %s, %s.",This document contains registered publications in cristin from %s for % %s.
c2z,CRIStin Bot nyttar seg av,CRIStin Bot is powered by
inn.url,https://www.inn.no/finn-en-ansatt/,https://www.inn.no/english/find-an-employee/
sdg,Berekraftsmål,Sustainable Development Goals
